dia;fecha;mes;dia;hora;remitente;tiempo_respuesta;minutos
Tuesday;2/1/2024;enero;2;10:58:22;Freddy;0,0025;3,60
Thursday;7/3/2024;marzo;7;12:49:41;Freddy;0,000208333;0,30
Monday;20/5/2024;mayo;20;19:24:38;Freddy;0,001840278;2,65
Saturday;25/5/2024;mayo;25;20:30:52;Freddy;0,003101852;4,47
Tuesday;28/5/2024;mayo;28;11:17:59;Freddy;0,000127315;0,18
Thursday;4/7/2024;julio;4;18:54:17;Freddy;0,014583333;21,00
Thursday;1/8/2024;agosto;1;13:28:23;Freddy;0,000590278;0,85
Tuesday;13/8/2024;agosto;13;10:28:24;Freddy;0,023009259;33,13
Tuesday;20/8/2024;agosto;20;10:02:52;Freddy;0,005590278;8,05
Thursday;5/9/2024;septiembre;5;11:53:48;Freddy;0,000578704;0,83
Thursday;5/9/2024;septiembre;5;17:12:12;Freddy;0,000752315;1,08
Thursday;5/9/2024;septiembre;5;21:57:00;Freddy;0,014409722;20,75
Wednesday;11/9/2024;septiembre;11;10:58:51;Freddy;0,000729167;1,05
Friday;13/9/2024;septiembre;13;10:45:33;Freddy;0,014328704;20,63
Sunday;6/10/2024;octubre;6;22:36:02;Freddy;0,000798611;1,15
Thursday;31/10/2024;octubre;31;10:45:11;Freddy;0,012037037;17,33
Thursday;7/11/2024;noviembre;7;10:44:58;Freddy;0,002939815;4,23
Friday;5/1/2024;enero;5;15:53:52;Mama;0,005868056;8,45
Friday;12/1/2024;enero;12;14:24:54;Mama;0,000289352;0,42
Sunday;14/1/2024;enero;14;14:32:31;Mama;0,000902778;1,30
Tuesday;16/1/2024;enero;16;09:41:31;Mama;0,000300926;0,43
Thursday;18/1/2024;enero;18;19:51:54;Mama;0,004421296;6,37
Friday;19/1/2024;enero;19;18:50:25;Mama;0,015578704;22,43
Sunday;21/1/2024;enero;21;09:55:01;Mama;0,015925926;22,93
Sunday;21/1/2024;enero;21;18:57:15;Mama;0,000358796;0,52
Monday;22/1/2024;enero;22;17:29:08;Mama;0,000196759;0,28
Tuesday;23/1/2024;enero;23;19:47:55;Mama;0,008958333;12,90
Wednesday;24/1/2024;enero;24;17:27:57;Mama;0,002384259;3,43
Friday;2/2/2024;febrero;2;10:31:34;Mama;0,086342593;124,33
Saturday;17/2/2024;febrero;17;08:43:00;Mama;0,039259259;56,53
Saturday;17/2/2024;febrero;17;19:17:15;Mama;0,00162037;2,33
Monday;19/2/2024;febrero;19;16:45:11;Mama;0,031435185;45,27
